#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 HeI_4471        	 HeII_4686       	 OIII_5007       	 NII_5755        	 HeI_5876        	 SIII_6312       	 NII_6584        	 HeI_6678        	 SII_6717,31     	 ArIII_7135      	 OII_7325        	 SIII_9069      	source
7.1000 -2.0000 -3.0000 0.4682 0.0458 0.0109 0.0216 0.0000 0.5809 0.0000 0.0552 0.0042 0.0048 0.0155 0.0618 0.0133 0.0137 0.0295	HII
7.1000 -2.0000 -2.7500 0.3348 0.0585 0.0182 0.0212 0.0000 0.8532 0.0000 0.0544 0.0053 0.0033 0.0152 0.0448 0.0144 0.0102 0.0336	HII
7.1000 -2.0000 -2.5000 0.2306 0.0723 0.0271 0.0209 0.0000 1.1180 0.0000 0.0537 0.0062 0.0022 0.0150 0.0322 0.0149 0.0073 0.0360	HII
7.1000 -2.0000 -2.2500 0.1599 0.0871 0.0374 0.0206 0.0000 1.3708 0.0000 0.0531 0.0068 0.0015 0.0148 0.0233 0.0147 0.0045 0.0364	HII
7.1000 -2.0000 -2.0000 0.1144 0.1027 0.0491 0.0204 0.0000 1.6134 0.0000 0.0527 0.0070 0.0011 0.0146 0.0173 0.0137 0.0016 0.0347	HII
7.1000 -2.0000 -1.7500 0.0853 0.1187 0.0622 0.0202 0.0000 1.8462 0.0000 0.0524 0.0068 0.0000 0.0145 0.0133 0.0121 0.0012 0.0314	HII
7.1000 -2.0000 -1.5000 0.0662 0.1347 0.0765 0.0200 0.0000 2.0697 0.0000 0.0521 0.0062 0.0000 0.0143 0.0107 0.0104 0.0000 0.0272	HII
7.2000 -2.0000 -4.0000 0.6705 0.0129 0.0000 0.0234 0.0000 0.0198 0.0000 0.0599 0.0011 0.0105 0.0169 0.1964 0.0082 0.0145 0.0119	HII
7.2000 -2.0000 -3.7500 0.7687 0.0202 0.0000 0.0229 0.0000 0.0635 0.0000 0.0587 0.0018 0.0108 0.0166 0.1661 0.0094 0.0181 0.0172	HII
7.2000 -2.0000 -3.5000 0.8092 0.0301 0.0025 0.0225 0.0000 0.1788 0.0000 0.0574 0.0027 0.0101 0.0162 0.1345 0.0106 0.0206 0.0236	HII
7.2000 -2.0000 -3.2500 0.7400 0.0425 0.0066 0.0220 0.0000 0.4054 0.0000 0.0563 0.0039 0.0083 0.0158 0.1039 0.0119 0.0201 0.0304	HII
7.2000 -2.0000 -3.0000 0.5837 0.0566 0.0133 0.0216 0.0000 0.7181 0.0000 0.0553 0.0052 0.0061 0.0155 0.0772 0.0132 0.0168 0.0368	HII
7.2000 -2.0000 -2.7500 0.4178 0.0721 0.0221 0.0213 0.0000 1.0539 0.0000 0.0545 0.0065 0.0042 0.0152 0.0560 0.0142 0.0127 0.0419	HII
7.2000 -2.0000 -2.5000 0.2878 0.0888 0.0327 0.0210 0.0000 1.3788 0.0000 0.0539 0.0076 0.0028 0.0150 0.0403 0.0148 0.0091 0.0450	HII
7.2000 -2.0000 -2.2500 0.1995 0.1067 0.0449 0.0207 0.0000 1.6866 0.0000 0.0534 0.0084 0.0019 0.0148 0.0291 0.0146 0.0056 0.0454	HII
7.2000 -2.0000 -2.0000 0.1426 0.1254 0.0586 0.0206 0.0000 1.9796 0.0000 0.0530 0.0086 0.0014 0.0147 0.0216 0.0136 0.0040 0.0432	HII
7.2000 -2.0000 -1.7500 0.1061 0.1443 0.0737 0.0204 0.0000 2.2586 0.0000 0.0527 0.0082 0.0010 0.0146 0.0166 0.0120 0.0015 0.0390	HII
7.2000 -2.0000 -1.5000 0.0821 0.1633 0.0901 0.0202 0.0000 2.5246 0.0000 0.0524 0.0075 0.0000 0.0144 0.0133 0.0102 0.0012 0.0337	HII
7.3000 -2.0000 -4.0000 0.8313 0.0156 0.0000 0.0234 0.0000 0.0243 0.0000 0.0598 0.0014 0.0131 0.0169 0.2450 0.0128 0.0179 0.0148	HII
7.3000 -2.0000 -3.7500 0.9526 0.0245 0.0000 0.0229 0.0000 0.0779 0.0000 0.0587 0.0022 0.0135 0.0166 0.2073 0.0147 0.0223 0.0215	HII
7.3000 -2.0000 -3.5000 1.0032 0.0368 0.0031 0.0225 0.0000 0.2194 0.0000 0.0575 0.0034 0.0127 0.0162 0.1679 0.0166 0.0254 0.0295	HII
7.3000 -2.0000 -3.2500 0.9187 0.0520 0.0079 0.0220 0.0000 0.4974 0.0000 0.0564 0.0048 0.0105 0.0159 0.1297 0.0187 0.0249 0.0379	HII
7.3000 -2.0000 -3.0000 0.7254 0.0692 0.0160 0.0217 0.0000 0.8813 0.0000 0.0555 0.0063 0.0077 0.0156 0.0964 0.0206 0.0208 0.0458	HII
7.3000 -2.0000 -2.7500 0.5197 0.0880 0.0264 0.0214 0.0000 1.2927 0.0000 0.0547 0.0079 0.0052 0.0153 0.0699 0.0223 0.0156 0.0522	HII
7.3000 -2.0000 -2.5000 0.3582 0.1083 0.0388 0.0211 0.0000 1.6877 0.0000 0.0541 0.0093 0.0035 0.0151 0.0501 0.0231 0.0113 0.0560	HII
7.3000 -2.0000 -2.2500 0.2481 0.1295 0.0530 0.0209 0.0000 2.0588 0.0000 0.0537 0.0102 0.0024 0.0149 0.0363 0.0228 0.0081 0.0565	HII
7.3000 -2.0000 -2.0000 0.1771 0.1515 0.0687 0.0207 0.0000 2.4080 0.0000 0.0533 0.0104 0.0017 0.0148 0.0268 0.0213 0.0051 0.0537	HII
7.3000 -2.0000 -1.7500 0.1315 0.1736 0.0859 0.0205 0.0000 2.7384 0.0000 0.0531 0.0100 0.0013 0.0147 0.0206 0.0188 0.0028 0.0483	HII
