12+log(O/H),log(N/O),log(U),OII_3727,NeIII_3868,OIII_4363,HeI_4471,HeII_4686,OIII_5007,NII_5755,HeI_5876,SIII_6312,NII_6584,HeI_6678,"SII_6717,31",ArIII_7135,OII_7325,SIII_9069,source
7.1,-2.0,-1.5,0.0662,0.1347,0.0765,0.02,0.0,2.0697,0.0,0.0521,0.0062,0.0,0.0143,0.0107,0.0104,0.0,0.0272,1
7.2,-2.0,-4.0,0.6705,0.0129,0.0,0.0234,0.0,0.0198,0.0,0.0599,0.0011,0.0105,0.0169,0.1964,0.0082,0.0145,0.0119,1
7.2,-2.0,-3.75,0.7687,0.0202,0.0,0.0229,0.0,0.0635,0.0,0.0587,0.0018,0.0108,0.0166,0.1661,0.0094,0.0181,0.0172,1
7.2,-2.0,-3.5,0.8092,0.0301,0.0025,0.0225,0.0,0.1788,0.0,0.0574,0.0027,0.0101,0.0162,0.1345,0.0106,0.0206,0.0236,1
7.2,-2.0,-3.25,0.74,0.0425,0.0066,0.022,0.0,0.4054,0.0,0.0563,0.0039,0.0083,0.0158,0.1039,0.0119,0.0201,0.0304,1
7.2,-2.0,-3.0,0.5837,0.0566,0.0133,0.0216,0.0,0.7181,0.0,0.0553,0.0052,0.0061,0.0155,0.0772,0.0132,0.0168,0.0368,1
7.2,-2.0,-2.75,0.4178,0.0721,0.0221,0.0213,0.0,1.0539,0.0,0.0545,0.0065,0.0042,0.0152,0.056,0.0142,0.0127,0.0419,1
7.2,-2.0,-2.5,0.2878,0.0888,0.0327,0.021,0.0,1.3788,0.0,0.0539,0.0076,0.0028,0.015,0.0403,0.0148,0.0091,0.045,1
7.2,-2.0,-2.25,0.1995,0.1067,0.0449,0.0207,0.0,1.6866,0.0,0.0534,0.0084,0.0019,0.0148,0.0291,0.0146,0.0056,0.0454,1
7.2,-2.0,-2.0,0.1426,0.1254,0.0586,0.0206,0.0,1.9796,0.0,0.053,0.0086,0.0014,0.0147,0.0216,0.0136,0.004,0.0432,1
7.2,-2.0,-1.75,0.1061,0.1443,0.0737,0.0204,0.0,2.2586,0.0,0.0527,0.0082,0.001,0.0146,0.0166,0.012,0.0015,0.039,1
7.2,-2.0,-1.5,0.0821,0.1633,0.0901,0.0202,0.0,2.5246,0.0,0.0524,0.0075,0.0,0.0144,0.0133,0.0102,0.0012,0.0337,1
7.3,-2.0,-4.0,0.8313,0.0156,0.0,0.0234,0.0,0.0243,0.0,0.0598,0.0014,0.0131,0.0169,0.245,0.0128,0.0179,0.0148,1
7.3,-2.0,-3.75,0.9526,0.0245,0.0,0.0229,0.0,0.0779,0.0,0.0587,0.0022,0.0135,0.0166,0.2073,0.0147,0.0223,0.0215,1
7.3,-2.0,-3.5,1.0032,0.0368,0.0031,0.0225,0.0,0.2194,0.0,0.0575,0.0034,0.0127,0.0162,0.1679,0.0166,0.0254,0.0295,1
7.3,-2.0,-3.25,0.9187,0.052,0.0079,0.022,0.0,0.4974,0.0,0.0564,0.0048,0.0105,0.0159,0.1297,0.0187,0.0249,0.0379,1
7.3,-2.0,-3.0,0.7254,0.0692,0.016,0.0217,0.0,0.8813,0.0,0.0555,0.0063,0.0077,0.0156,0.0964,0.0206,0.0208,0.0458,1
7.3,-2.0,-2.75,0.5197,0.088,0.0264,0.0214,0.0,1.2927,0.0,0.0547,0.0079,0.0052,0.0153,0.0699,0.0223,0.0156,0.0522,1
7.3,-2.0,-2.5,0.3582,0.1083,0.0388,0.0211,0.0,1.6877,0.0,0.0541,0.0093,0.0035,0.0151,0.0501,0.0231,0.0113,0.056,1
7.3,-2.0,-2.25,0.2481,0.1295,0.053,0.0209,0.0,2.0588,0.0,0.0537,0.0102,0.0024,0.0149,0.0363,0.0228,0.0081,0.0565,1
7.3,-2.0,-2.0,0.1771,0.1515,0.0687,0.0207,0.0,2.408,0.0,0.0533,0.0104,0.0017,0.0148,0.0268,0.0213,0.0051,0.0537,1
7.3,-2.0,-1.75,0.1315,0.1736,0.0859,0.0205,0.0,2.7384,0.0,0.0531,0.01,0.0013,0.0147,0.0206,0.0188,0.0028,0.0483,1
7.3,-2.0,-1.5,0.1014,0.1956,0.1041,0.0204,0.0,3.0507,0.0,0.0528,0.009,0.0,0.0146,0.0165,0.016,0.0014,0.0417,1
7.4,-2.0,-4.0,1.0263,0.0189,0.0,0.0234,0.0,0.0297,0.0,0.0598,0.0017,0.0163,0.0169,0.3051,0.0126,0.0219,0.0184,1
7.4,-2.0,-3.75,1.1756,0.0297,0.0011,0.0229,0.0,0.095,0.0,0.0587,0.0027,0.0168,0.0166,0.2584,0.0144,0.0272,0.0267,1
7.4,-2.0,-3.5,1.2384,0.0447,0.0037,0.0225,0.0,0.2676,0.0,0.0576,0.0041,0.0158,0.0162,0.2093,0.0164,0.0309,0.0366,1
7.4,-2.0,-3.25,1.1351,0.0632,0.0095,0.0221,0.0,0.6067,0.0,0.0566,0.0058,0.0131,0.0159,0.1617,0.0184,0.0304,0.0471,1
7.4,-2.0,-3.0,0.898,0.0841,0.0189,0.0217,0.0,1.075,0.0,0.0557,0.0077,0.0096,0.0156,0.1201,0.0203,0.0254,0.0568,1
7.4,-2.0,-2.75,0.6437,0.1068,0.0312,0.0214,0.0,1.5748,0.0,0.055,0.0096,0.0066,0.0154,0.087,0.0219,0.0191,0.0647,1
7.4,-2.0,-2.5,0.4438,0.1308,0.0455,0.0212,0.0,2.0509,0.0,0.0544,0.0112,0.0044,0.0152,0.0624,0.0227,0.0137,0.0694,1
7.4,-2.0,-2.25,0.3072,0.1559,0.0617,0.021,0.0,2.4937,0.0,0.054,0.0123,0.003,0.015,0.045,0.0224,0.0098,0.0699,1
7.4,-2.0,-2.0,0.219,0.1814,0.0793,0.0209,0.0,2.9055,0.0,0.0537,0.0125,0.0021,0.0149,0.0333,0.0209,0.0062,0.0664,1
7.4,-2.0,-1.75,0.1623,0.2069,0.0983,0.0207,0.0,3.2919,0.0,0.0535,0.0119,0.0016,0.0148,0.0256,0.0185,0.0046,0.0597,1
7.4,-2.0,-1.5,0.1249,0.2321,0.1186,0.0205,0.0,3.6567,0.0,0.0532,0.0108,0.0012,0.0147,0.0203,0.0158,0.0017,0.0514,1
7.5,-2.0,-4.0,1.2577,0.0226,0.0,0.0233,0.0,0.0359,0.0,0.0597,0.002,0.0202,0.0169,0.3789,0.0196,0.0265,0.0228,1
7.5,-2.0,-3.75,1.441,0.0357,0.0013,0.0229,0.0,0.115,0.0,0.0587,0.0033,0.0208,0.0166,0.321,0.0225,0.0329,0.0331,1
7.5,-2.0,-3.5,1.5182,0.0538,0.0043,0.0225,0.0,0.3238,0.0,0.0577,0.005,0.0197,0.0163,0.26,0.0255,0.0374,0.0453,1
7.5,-2.0,-3.25,1.393,0.0762,0.0111,0.0222,0.0,0.7338,0.0,0.0567,0.007,0.0164,0.016,0.2009,0.0286,0.0367,0.0582,1
7.5,-2.0,-3.0,1.1033,0.1013,0.0221,0.0218,0.0,1.2988,0.0,0.0559,0.0093,0.012,0.0157,0.1492,0.0316,0.0306,0.0702,1
7.5,-2.0,-2.75,0.7922,0.1282,0.0361,0.0216,0.0,1.8999,0.0,0.0552,0.0115,0.0082,0.0155,0.108,0.034,0.0231,0.0797,1
7.5,-2.0,-2.5,0.5464,0.1564,0.0523,0.0213,0.0,2.4671,0.0,0.0547,0.0134,0.0055,0.0153,0.0774,0.0352,0.0165,0.0854,1
7.5,-2.0,-2.25,0.3779,0.1853,0.0703,0.0212,0.0,2.9877,0.0,0.0544,0.0146,0.0038,0.0151,0.0559,0.0347,0.0117,0.0861,1
7.5,-2.0,-2.0,0.269,0.2145,0.0897,0.021,0.0,3.4679,0.0,0.0541,0.0148,0.0027,0.015,0.0412,0.0324,0.0086,0.0816,1
7.5,-2.0,-1.75,0.1989,0.2435,0.1104,0.0209,0.0,3.9147,0.0,0.0539,0.0141,0.002,0.015,0.0315,0.0287,0.0055,0.0732,1
7.5,-2.0,-1.5,0.1529,0.2722,0.1323,0.0207,0.0,4.3359,0.0,0.0537,0.0127,0.0015,0.0149,0.025,0.0245,0.0044,0.0629,1
7.6,-2.0,-3.75,1.7552,0.0426,0.0016,0.023,0.0,0.1382,0.0,0.0588,0.004,0.0257,0.0166,0.398,0.022,0.0395,0.0408,1
7.6,-2.0,-3.5,1.8488,0.0643,0.005,0.0226,0.0,0.3887,0.0,0.0578,0.006,0.0244,0.0163,0.3225,0.025,0.0447,0.0559,1
7.6,-2.0,-3.25,1.6968,0.091,0.0127,0.0222,0.0,0.8793,0.0,0.0569,0.0084,0.0204,0.016,0.249,0.028,0.0438,0.0717,1
7.6,-2.0,-3.0,1.3463,0.1207,0.0252,0.0219,0.0,1.5539,0.0,0.0561,0.0111,0.015,0.0158,0.1847,0.0308,0.0367,0.0862,1
7.6,-2.0,-2.75,0.9675,0.1521,0.041,0.0217,0.0,2.2666,0.0,0.0555,0.0136,0.0103,0.0156,0.1336,0.033,0.0277,0.0977,1
7.6,-2.0,-2.5,0.6676,0.1844,0.0589,0.0215,0.0,2.9336,0.0,0.0551,0.0158,0.0069,0.0154,0.0956,0.0342,0.0199,0.1044,1
7.6,-2.0,-2.25,0.4616,0.2173,0.0783,0.0213,0.0,3.5375,0.0,0.0547,0.0171,0.0047,0.0153,0.0689,0.0337,0.0142,0.1051,1
7.6,-2.0,-2.25,0.4616,0.2173,0.0783,0.0213,0.0,3.5375,0.0,0.0547,0.0171,0.0047,0.0153,0.0689,0.0337,0.0142,0.1051,1
7.6,-2.0,-2.0,0.3281,0.2502,0.0991,0.0212,0.0,4.0893,0.0,0.0545,0.0172,0.0033,0.0152,0.0508,0.0314,0.0103,0.0996,1
7.6,-2.0,-1.75,0.2423,0.2828,0.1213,0.0211,0.0,4.6022,0.0,0.0543,0.0164,0.0024,0.0151,0.0387,0.0278,0.0078,0.0893,1
7.6,-2.0,-1.5,0.1858,0.3151,0.1447,0.0209,0.0,5.0844,0.0,0.0541,0.0148,0.0019,0.015,0.0308,0.0238,0.0052,0.0766,1
7.6,-2.0,-4.0,1.5334,0.0269,0.0,0.0233,0.0,0.0433,0.0,0.0597,0.0025,0.025,0.0169,0.4693,0.0191,0.0318,0.0281,1
7.7,-2.0,-4.0,1.8463,0.0316,0.0,0.0233,0.0,0.0517,0.0,0.0597,0.003,0.0307,0.0169,0.5776,0.0295,0.0374,0.0345,1
7.7,-2.0,-3.75,2.1113,0.0501,0.0018,0.023,0.0,0.164,0.0,0.0589,0.0047,0.0316,0.0166,0.4905,0.0339,0.0465,0.05,1
7.7,-2.0,-3.5,2.2226,0.0758,0.0056,0.0226,0.0,0.4601,0.0,0.058,0.0071,0.0301,0.0163,0.3976,0.0384,0.0526,0.0684,1
7.7,-2.0,-3.25,2.0409,0.1071,0.0143,0.0223,0.0,1.0384,0.0,0.0571,0.01,0.0251,0.0161,0.3069,0.043,0.0514,0.0875,1
7.7,-2.0,-3.0,1.6217,0.1415,0.028,0.022,0.0,1.8303,0.0,0.0564,0.013,0.0186,0.0159,0.2276,0.0471,0.0431,0.1049,1
7.7,-2.0,-2.75,1.1676,0.1773,0.0451,0.0218,0.0,2.6608,0.0,0.0558,0.0158,0.0128,0.0157,0.1644,0.0504,0.0325,0.1185,1
7.7,-2.0,-2.5,0.8068,0.2137,0.0642,0.0216,0.0,3.431,0.0,0.0554,0.0182,0.0086,0.0155,0.1175,0.0521,0.0233,0.1264,1
7.7,-2.0,-2.25,0.5579,0.2502,0.0847,0.0215,0.0,4.1215,0.0,0.0551,0.0196,0.0058,0.0154,0.0846,0.0512,0.0167,0.1271,1
7.7,-2.0,-2.0,0.3962,0.2866,0.1063,0.0214,0.0,4.7458,0.0,0.0549,0.0198,0.0041,0.0153,0.0622,0.0478,0.0122,0.1204,1
7.7,-2.0,-1.75,0.2923,0.3229,0.1296,0.0212,0.0,5.3288,0.0,0.0547,0.0187,0.003,0.0152,0.0473,0.0424,0.0091,0.1079,1
7.7,-2.0,-1.5,0.224,0.359,0.1543,0.0211,0.0,5.8808,0.0,0.0545,0.0169,0.0023,0.0152,0.0375,0.0363,0.0061,0.0925,1
7.8,-2.0,-4.0,2.1983,0.0366,0.0,0.0233,0.0,0.0613,0.0,0.0597,0.0035,0.0374,0.0169,0.7064,0.0284,0.0435,0.042,1
7.8,-2.0,-3.75,2.5104,0.0582,0.002,0.023,0.0,0.1923,0.0,0.059,0.0056,0.0385,0.0167,0.6016,0.0327,0.0537,0.0607,1
7.8,-2.0,-3.5,2.6395,0.0881,0.0062,0.0227,0.0,0.5369,0.0,0.0581,0.0083,0.0367,0.0164,0.4878,0.0371,0.0606,0.083,1
7.8,-2.0,-3.25,2.4238,0.1241,0.0156,0.0224,0.0,1.2081,0.0,0.0573,0.0115,0.0308,0.0162,0.3763,0.0413,0.0592,0.1059,1
7.8,-2.0,-3.0,1.9282,0.1631,0.0302,0.0221,0.0,2.1208,0.0,0.0567,0.0149,0.0229,0.0159,0.2787,0.0451,0.0496,0.1265,1
7.8,-2.0,-2.75,1.3923,0.203,0.0481,0.0219,0.0,3.0718,0.0,0.0562,0.018,0.0157,0.0158,0.201,0.0481,0.0375,0.1424,1
7.8,-2.0,-2.5,0.9634,0.2429,0.0678,0.0218,0.0,3.9429,0.0,0.0558,0.0205,0.0106,0.0156,0.1435,0.0495,0.027,0.1513,1
7.8,-2.0,-2.25,0.6668,0.2828,0.0887,0.0216,0.0,4.7218,0.0,0.0555,0.022,0.0072,0.0155,0.103,0.0487,0.0194,0.1519,1
7.8,-2.0,-2.0,0.4737,0.3225,0.1109,0.0215,0.0,5.423,0.0,0.0553,0.0222,0.005,0.0154,0.0757,0.0454,0.0142,0.1439,1
7.8,-2.0,-1.75,0.3493,0.3623,0.1346,0.0214,0.0,6.0758,0.0,0.0551,0.0211,0.0037,0.0154,0.0576,0.0404,0.0106,0.1291,1
7.8,-2.0,-1.5,0.2677,0.4026,0.1603,0.0213,0.0,6.7035,0.0,0.0549,0.019,0.0028,0.0153,0.0455,0.0346,0.0083,0.1108,1
7.9,-2.0,-4.0,2.5532,0.0414,0.0,0.0233,0.0,0.0704,0.0,0.0598,0.004,0.0449,0.0169,0.8543,0.043,0.0486,0.0504,1
7.9,-2.0,-3.75,2.9159,0.066,0.0021,0.0231,0.0,0.2201,0.0,0.0591,0.0063,0.0464,0.0167,0.7292,0.0494,0.06,0.0729,1
7.9,-2.0,-3.5,3.0652,0.0999,0.0065,0.0228,0.0,0.612,0.0,0.0583,0.0095,0.0443,0.0165,0.5922,0.056,0.0676,0.0994,1
7.9,-2.0,-3.25,2.8172,0.1403,0.0162,0.0225,0.0,1.3712,0.0,0.0576,0.013,0.0374,0.0162,0.4568,0.0621,0.0661,0.1266,1
7.9,-2.0,-3.0,2.2475,0.1833,0.0311,0.0222,0.0,2.3988,0.0,0.057,0.0166,0.0278,0.016,0.3381,0.0675,0.0555,0.1505,1
7.9,-2.0,-2.75,1.6281,0.2264,0.049,0.0221,0.0,3.4593,0.0,0.0565,0.0199,0.0192,0.0159,0.2436,0.0716,0.0422,0.1686,1
7.9,-2.0,-2.5,1.1308,0.2692,0.0685,0.0219,0.0,4.4271,0.0,0.0561,0.0226,0.0129,0.0158,0.1736,0.0735,0.0306,0.1787,1
7.9,-2.0,-2.25,0.7845,0.3118,0.0892,0.0218,0.0,5.2865,0.0,0.0559,0.0241,0.0087,0.0157,0.1246,0.0723,0.022,0.1791,1
7.9,-2.0,-2.0,0.5581,0.3544,0.1113,0.0217,0.0,6.0666,0.0,0.0557,0.0243,0.0061,0.0156,0.0914,0.0676,0.016,0.1696,1
7.9,-2.0,-1.75,0.4119,0.3977,0.1351,0.0216,0.0,6.7983,0.0,0.0555,0.0231,0.0045,0.0155,0.0695,0.0602,0.0122,0.1525,1
7.9,-2.0,-1.5,0.316,0.4423,0.1613,0.0215,0.0,7.5088,0.0,0.0554,0.021,0.0034,0.0155,0.0548,0.0518,0.0095,0.1313,1
8.0,-2.0,-4.0,2.9042,0.0459,0.0,0.0233,0.0,0.0792,0.0,0.0598,0.0044,0.0533,0.0169,1.0218,0.0404,0.0527,0.0597,1
8.0,-2.0,-3.75,3.3226,0.0734,0.0021,0.0231,0.0,0.2472,0.0,0.0593,0.0071,0.0552,0.0168,0.8758,0.0466,0.0653,0.0864,1
8.0,-2.0,-3.5,3.4897,0.1108,0.0066,0.0229,0.0,0.683,0.001,0.0586,0.0105,0.0529,0.0165,0.7122,0.0527,0.0734,0.1177,1
8.0,-2.0,-3.25,3.2074,0.1549,0.0161,0.0226,0.0,1.5202,0.0,0.0579,0.0143,0.0448,0.0163,0.5494,0.0582,0.0715,0.1492,1
8.0,-2.0,-3.0,2.5677,0.2009,0.0306,0.0224,0.0,2.6467,0.0,0.0573,0.0181,0.0335,0.0161,0.4061,0.0629,0.0604,0.1766,1
8.0,-2.0,-2.75,1.8699,0.2464,0.0478,0.0222,0.0,3.8071,0.0,0.0568,0.0215,0.0232,0.016,0.2923,0.0663,0.0462,0.197,1
8.0,-2.0,-2.5,1.3057,0.2912,0.0666,0.022,0.0,4.8636,0.0,0.0565,0.0241,0.0156,0.0159,0.2083,0.0679,0.0337,0.2083,1
8.0,-2.0,-2.25,0.9093,0.3357,0.0864,0.0219,0.0,5.7983,0.0,0.0562,0.0257,0.0106,0.0158,0.1494,0.0668,0.0245,0.2085,1
8.0,-2.0,-2.0,0.6488,0.3812,0.1079,0.0218,0.0,6.6547,0.0,0.0561,0.0259,0.0074,0.0157,0.1095,0.0626,0.0179,0.1976,1
8.0,-2.0,-1.75,0.4798,0.4279,0.1313,0.0217,0.0,7.4681,0.0,0.0559,0.0248,0.0054,0.0157,0.0832,0.056,0.0137,0.178,1
8.0,-2.0,-1.5,0.3687,0.4767,0.1574,0.0216,0.0,8.2694,0.0,0.0558,0.0227,0.0041,0.0156,0.0657,0.0484,0.0108,0.1537,1
8.1,-2.0,-4.0,3.1519,0.0485,0.0,0.0234,0.0,0.0853,0.0,0.0599,0.0047,0.0616,0.017,1.1934,0.0588,0.0533,0.0689,1
8.1,-2.0,-3.75,3.6271,0.078,0.002,0.0232,0.0,0.2661,0.0011,0.0595,0.0075,0.0641,0.0168,1.0296,0.068,0.0667,0.1,1
8.1,-2.0,-3.5,3.8232,0.118,0.0062,0.0229,0.0,0.7336,0.0011,0.0588,0.0111,0.0618,0.0166,0.8408,0.0768,0.0754,0.1362,1
8.1,-2.0,-3.25,3.5288,0.1647,0.015,0.0227,0.0,1.6262,0.001,0.0582,0.0151,0.0526,0.0164,0.6498,0.0847,0.0739,0.1724,1
8.1,-2.0,-3.0,2.8435,0.2124,0.0282,0.0225,0.0,2.8214,0.0,0.0576,0.0189,0.0396,0.0163,0.4805,0.0909,0.0629,0.2032,1
8.1,-2.0,-2.75,2.0896,0.2591,0.044,0.0223,0.0,4.0553,0.0,0.0572,0.0223,0.0276,0.0161,0.3459,0.0955,0.0487,0.226,1
8.1,-2.0,-2.5,1.4709,0.3049,0.0612,0.0222,0.0,5.1829,0.0,0.0568,0.025,0.0186,0.016,0.2466,0.0975,0.036,0.2385,1
8.1,-2.0,-2.25,1.0311,0.3507,0.0797,0.0221,0.0,6.1877,0.0,0.0566,0.0266,0.0127,0.0159,0.1769,0.096,0.0263,0.2387,1
8.1,-2.0,-2.0,0.7391,0.3979,0.0997,0.022,0.0,7.1138,0.0,0.0564,0.0269,0.0089,0.0159,0.1298,0.0904,0.0195,0.2266,1
8.1,-2.0,-1.75,0.5486,0.4477,0.1221,0.0219,0.0,8.008,0.0,0.0563,0.0259,0.0065,0.0158,0.0986,0.0813,0.015,0.2047,1
8.1,-2.0,-1.5,0.4228,0.5006,0.1475,0.0218,0.0,8.9019,0.0,0.0562,0.0239,0.0049,0.0157,0.0779,0.0706,0.0117,0.1774,1
8.2,-2.0,-4.0,3.2628,0.0477,0.0,0.0233,0.0,0.0868,0.0,0.0598,0.0047,0.0691,0.017,1.3582,0.0523,0.0507,0.0771,1
8.2,-2.0,-3.75,3.8005,0.078,0.0018,0.0232,0.0,0.2727,0.0011,0.0595,0.0076,0.0726,0.0169,1.1844,0.0609,0.0643,0.1125,1
8.2,-2.0,-3.5,4.0417,0.1192,0.0054,0.023,0.0,0.7531,0.0011,0.0589,0.0113,0.0705,0.0167,0.9744,0.069,0.0736,0.154,1
8.2,-2.0,-3.25,3.7577,0.1667,0.013,0.0228,0.0,1.6668,0.0011,0.0584,0.0153,0.0606,0.0165,0.7553,0.0759,0.0727,0.1948,1
8.2,-2.0,-3.0,3.0584,0.2147,0.0243,0.0226,0.0,2.8895,0.0,0.0579,0.019,0.0461,0.0164,0.5592,0.0811,0.0627,0.229,1
8.2,-2.0,-2.75,2.2743,0.2612,0.0378,0.0224,0.0,4.1593,0.0,0.0575,0.0222,0.0324,0.0162,0.4028,0.0848,0.0495,0.2541,1
8.2,-2.0,-2.5,1.6188,0.3067,0.0528,0.0223,0.0,5.3291,0.0,0.0572,0.0248,0.022,0.0161,0.2873,0.0866,0.0372,0.2681,1
8.2,-2.0,-2.25,1.1447,0.3527,0.0691,0.0222,0.0,6.3841,0.0,0.057,0.0265,0.015,0.0161,0.2064,0.0854,0.0275,0.269,1
8.2,-2.0,-2.0,0.826,0.4006,0.0871,0.0221,0.0,7.3655,0.0,0.0568,0.027,0.0105,0.016,0.1515,0.0809,0.0207,0.2564,1
8.2,-2.0,-1.75,0.616,0.452,0.1074,0.0221,0.0,8.3252,0.0,0.0567,0.0262,0.0076,0.0159,0.1153,0.0734,0.0159,0.2328,1
8.2,-2.0,-1.5,0.4767,0.5078,0.1309,0.022,0.0,9.3036,0.0,0.0566,0.0245,0.0058,0.0159,0.0911,0.0642,0.0128,0.203,1
8.3,-2.0,-4.0,3.0187,0.0406,0.0,0.023,0.0,0.0781,0.0,0.0593,0.0041,0.0724,0.0168,1.4542,0.0685,0.0408,0.0804,1
